Timestamp,Date,USDT,USDC,USDY,Total
1666656000,2022-10-25,5213380,16566948,,21780328
1666742400,2022-10-26,6245709,17855598,,24101307
1666828800,2022-10-27,6959650,23481748,,30441398
1666915200,2022-10-28,6992464,28595479,,35587943
1667001600,2022-10-29,7526420,30616787,,38143207
1667088000,2022-10-30,7541745,30697300,,38239045
1667174400,2022-10-31,7547946,30654022,,38201968
1667260800,2022-11-01,7522945,30879558,,38402503
1667347200,2022-11-02,7526779,30927473,,38454252
1667433600,2022-11-03,7515454,30569781,,38085235
1667520000,2022-11-04,7525732,30509983,,38035715
1667606400,2022-11-05,7343986,30456181,,37800167
1667692800,2022-11-06,7857326,31659399,,39516725
1667779200,2022-11-07,7862535,31708554,,39571089
1667865600,2022-11-08,7880131,31660018,,39540149
1667952000,2022-11-09,7881102,30691258,,38572360
1668038400,2022-11-10,7868788,29350871,,37219659
1668124800,2022-11-11,7859449,29831378,,37690827
1668211200,2022-11-12,7882866,29732143,,37615009
1668297600,2022-11-13,7854382,29594841,,37449223
1668384000,2022-11-14,7857155,29400883,,37258038
1668470400,2022-11-15,7862548,29358351,,37220899
1668556800,2022-11-16,7865743,29496608,,37362351
1668643200,2022-11-17,7868899,29422617,,37291516
1668729600,2022-11-18,7864796,29472961,,37337757
1668816000,2022-11-19,7861659,29463613,,37325272
1668902400,2022-11-20,7870212,29438706,,37308918
1668988800,2022-11-21,7878897,29261284,,37140181
1669075200,2022-11-22,7876504,28928532,,36805036
1669161600,2022-11-23,7865750,28726802,,36592552
1669248000,2022-11-24,7864508,28841247,,36705755
1669334400,2022-11-25,7868936,28943478,,36812414
1669420800,2022-11-26,7886233,28970331,,36856564
1669507200,2022-11-27,7882888,29070756,,36953644
1669593600,2022-11-28,7881861,29131000,,37012861
1669680000,2022-11-29,7885041,29087347,,36972388
1669766400,2022-11-30,7885513,29121954,,37007467
1669852800,2022-12-01,7886004,29456648,,37342652
1669939200,2022-12-02,7914697,29277899,,37192596
1670025600,2022-12-03,7919570,29208598,,37128168
1670112000,2022-12-04,7920895,29293186,,37214081
1670198400,2022-12-05,7913901,29323397,,37237298
1670284800,2022-12-06,7915795,29450241,,37366036
1670371200,2022-12-07,7922166,29395865,,37318031
1670457600,2022-12-08,7922160,29268262,,37190422
1670544000,2022-12-09,7926348,29271095,,37197443
1670630400,2022-12-10,7828526,29378802,,37207328
1670716800,2022-12-11,7832520,31388377,,39220897
1670803200,2022-12-12,7833550,31386463,,39220013
1670889600,2022-12-13,7769853,31401762,,39171615
1670976000,2022-12-14,7759015,31464871,,39223886
1671062400,2022-12-15,7756833,31548158,,39304991
1671148800,2022-12-16,7761620,31583743,,39345363
1671235200,2022-12-17,8162144,32394301,,40556445
1671321600,2022-12-18,8642147,33078889,,41721036
1671408000,2022-12-19,8750905,33539357,,42290262
1671494400,2022-12-20,9044864,33824605,,42869469
1671580800,2022-12-21,9052594,34030679,,43083273
1671667200,2022-12-22,9084080,34129707,,43213787
1671753600,2022-12-23,9162121,34369039,,43531160
1671840000,2022-12-24,9157791,34453858,,43611649
1671926400,2022-12-25,9016852,34206726,,43223578
1672012800,2022-12-26,9125257,34345562,,43470819
1672099200,2022-12-27,9277712,34529328,,43807040
1672185600,2022-12-28,9318137,34417732,,43735869
1672272000,2022-12-29,9319075,34273951,,43593026
1672358400,2022-12-30,9377306,34163288,,43540594
1672444800,2022-12-31,9388610,34485168,,43873778
1672531200,2023-01-01,9518103,34462004,,43980107
1672617600,2023-01-02,9586687,34618993,,44205680
1672704000,2023-01-03,9632171,34774423,,44406594
1672790400,2023-01-04,9588724,35014684,,44603408
1672876800,2023-01-05,9593650,35163541,,44757191
1672963200,2023-01-06,9600151,34655587,,44255738
1673049600,2023-01-07,9597808,34702125,,44299933
1673136000,2023-01-08,9988892,35092701,,45081593
1673222400,2023-01-09,10391692,35446337,,45838029
1673308800,2023-01-10,10388205,36146105,,46534310
1673395200,2023-01-11,10346568,36329605,,46676173
1673481600,2023-01-12,10348851,36352607,,46701458
1673568000,2023-01-13,10350900,36578459,,46929359
1673654400,2023-01-14,10363772,36811586,,47175358
1673740800,2023-01-15,10400059,37412820,,47812879
1673827200,2023-01-16,10090049,37509306,,47599355
1673913600,2023-01-17,10076522,37683227,,47759749
1674000000,2023-01-18,10027066,37545266,,47572332
1674086400,2023-01-19,10024864,37163613,,47188477
1674172800,2023-01-20,10031387,37478614,,47510001
1674259200,2023-01-21,10056322,38268298,,48324620
1674345600,2023-01-22,10056566,38116343,,48172909
1674432000,2023-01-23,10058989,38486348,,48545337
1674518400,2023-01-24,10080516,38589915,,48670431
1674604800,2023-01-25,10088263,38633414,,48721677
1674691200,2023-01-26,10163259,39995517,,50158776
1674777600,2023-01-27,10335076,40572547,,50907623
1674864000,2023-01-28,10368221,40693816,,51062037
1674950400,2023-01-29,10726149,42272081,,52998230
1675036800,2023-01-30,11674375,43294624,,54968999
1675123200,2023-01-31,11657969,43198650,,54856619
1675209600,2023-02-01,11487670,43057805,,54545475
1675296000,2023-02-02,11525884,42967079,,54492963
1675382400,2023-02-03,11487285,42723287,,54210572
1675468800,2023-02-04,11892258,42999758,,54892016
1675555200,2023-02-05,11843678,42930139,,54773817
1675641600,2023-02-06,11831495,42678091,,54509586
1675728000,2023-02-07,11835848,42594120,,54429968
1675814400,2023-02-08,11738742,42518259,,54257001
1675900800,2023-02-09,11727252,42193479,,53920731
1675987200,2023-02-10,11973534,42736181,,54709715
1676073600,2023-02-11,12075360,42803638,,54878998
1676160000,2023-02-12,12051870,42874529,,54926399
1676246400,2023-02-13,12046569,43043999,,55090568
1676332800,2023-02-14,11130365,40295087,,51425452
1676419200,2023-02-15,11118157,40838568,,51956725
1676505600,2023-02-16,11032697,40444417,,51477114
1676592000,2023-02-17,10903874,40552658,,51456532
1676678400,2023-02-18,10895118,40443900,,51339018
1676764800,2023-02-19,10803835,40371158,,51174993
1676851200,2023-02-20,10674434,40062293,,50736727
1676937600,2023-02-21,10720298,40143661,,50863959
1677024000,2023-02-22,10493678,39781697,,50275375
1677110400,2023-02-23,10493217,39747394,,50240611
1677196800,2023-02-24,10464949,39733681,,50198630
1677283200,2023-02-25,10459036,39633165,,50092201
1677369600,2023-02-26,10462994,39436024,,49899018
1677456000,2023-02-27,10463145,39381199,,49844344
1677542400,2023-02-28,10463589,39510890,,49974479
1677628800,2023-03-01,10469021,39376378,,49845399
1677715200,2023-03-02,10504093,39482597,,49986690
1677801600,2023-03-03,10506016,39549102,,50055118
1677888000,2023-03-04,10461447,39282849,,49744296
1677974400,2023-03-05,10459364,39107438,,49566802
1678060800,2023-03-06,10462364,39176044,,49638408
1678147200,2023-03-07,10501371,39227069,,49728440
1678233600,2023-03-08,10521302,39223744,,49745046
1678320000,2023-03-09,10541139,38960823,,49501962
1678406400,2023-03-10,10048304,38048094,,48096398
1678492800,2023-03-11,9571482,36748079,,46319561
1678579200,2023-03-12,8888299,21830290,,30718589
1678665600,2023-03-13,8755198,21964900,,30720098
1678752000,2023-03-14,9034568,22817542,,31852110
1678838400,2023-03-15,9067387,22883539,,31950926
1678924800,2023-03-16,9299568,22959368,,32258936
1679011200,2023-03-17,9298806,22196193,,31494999
1679097600,2023-03-18,9295687,22311243,,31606930
1679184000,2023-03-19,9387442,22684644,,32072086
1679270400,2023-03-20,9395839,22844188,,32240027
1679356800,2023-03-21,9432011,22842303,,32274314
1679443200,2023-03-22,9451527,22752716,,32204243
1679529600,2023-03-23,9454848,22974947,,32429795
1679616000,2023-03-24,9460876,23159282,,32620158
1679702400,2023-03-25,9448481,23064292,,32512773
1679788800,2023-03-26,9467971,23021385,,32489356
1679875200,2023-03-27,9444198,22659971,,32104169
1679961600,2023-03-28,9414970,22660163,,32075133
1680048000,2023-03-29,9459550,22590206,,32049756
1680134400,2023-03-30,13022302,27055459,,40077761
1680220800,2023-03-31,13036097,27473583,,40509680
1680307200,2023-04-01,13019132,28787929,,41807061
1680393600,2023-04-02,13079510,29239833,,42319343
1680480000,2023-04-03,13134678,29910312,,43044990
1680566400,2023-04-04,13290706,30370273,,43660979
1680652800,2023-04-05,13359535,30801897,,44161432
1680739200,2023-04-06,13505338,32434222,,45939560
1680825600,2023-04-07,13544120,36458603,,50002723
1680912000,2023-04-08,13647911,38372423,,52020334
1680998400,2023-04-09,13671590,42766434,,56438024
1681084800,2023-04-10,13803512,42618759,,56422271
1681171200,2023-04-11,13853644,44895883,,58749527
1681257600,2023-04-12,14032230,45146053,,59178283
1681344000,2023-04-13,14076627,45818326,,59894953
1681430400,2023-04-14,14129669,45796690,,59926359
1681516800,2023-04-15,14172821,46600531,,60773352
1681603200,2023-04-16,14170737,46700673,,60871410
1681689600,2023-04-17,14307856,46726105,,61033961
1681776000,2023-04-18,14375683,46790767,,61166450
1681862400,2023-04-19,14466739,46800717,,61267456
1681948800,2023-04-20,14366430,46056997,,60423427
1682035200,2023-04-21,14383364,46059862,,60443226
1682121600,2023-04-22,14384283,45580584,,59964867
1682208000,2023-04-23,14529506,45702101,,60231607
1682294400,2023-04-24,14565533,45670194,,60235727
1682380800,2023-04-25,14563876,46225000,,60788876
1682467200,2023-04-26,14601777,46320025,,60921802
1682553600,2023-04-27,14700031,46884828,,61584859
1682640000,2023-04-28,14683738,46897164,,61580902
1682726400,2023-04-29,14676471,46393692,,61070163
1682812800,2023-04-30,14678933,46231480,,60910413
1682899200,2023-05-01,14421522,45368225,,59789747
1682985600,2023-05-02,14410173,41553330,,55963503
1683072000,2023-05-03,14352407,41028173,,55380580
1683158400,2023-05-04,14356162,41064916,,55421078
1683244800,2023-05-05,14278174,40889866,,55168040
1683331200,2023-05-06,14315634,40848579,,55164213
1683417600,2023-05-07,14360146,40903806,,55263952
1683504000,2023-05-08,14368663,40998285,,55366948
1683590400,2023-05-09,14360148,40495413,,54855561
1683676800,2023-05-10,14238240,39829332,,54067572
1683763200,2023-05-11,13993781,38910575,,52904356
1683849600,2023-05-12,13764435,38668596,,52433031
1683936000,2023-05-13,13681349,38323839,,52005188
1684022400,2023-05-14,13717057,38430649,,52147706
1684108800,2023-05-15,13729113,38578015,,52307128
1684195200,2023-05-16,13716821,38583520,,52300341
1684281600,2023-05-17,13612653,38381909,,51994562
1684368000,2023-05-18,13789620,38191861,,51981481
1684454400,2023-05-19,13607898,38176502,,51784400
1684540800,2023-05-20,13597373,38124739,,51722112
1684627200,2023-05-21,13639854,38254301,,51894155
1684713600,2023-05-22,13658034,38289837,,51947871
1684800000,2023-05-23,13678965,38493506,,52172471
1684886400,2023-05-24,13709892,38628016,,52337908
1684972800,2023-05-25,13689503,38253428,,51942931
1685059200,2023-05-26,13705781,38205282,,51911063
1685145600,2023-05-27,13702868,38379321,,52082189
1685232000,2023-05-28,13705591,38594982,,52300573
1685318400,2023-05-29,13720199,38512185,,52232384
1685404800,2023-05-30,13753599,38552936,,52306535
1685491200,2023-05-31,13739654,38476509,,52216163
1685577600,2023-06-01,13783273,38488761,,52272034
1685664000,2023-06-02,13798299,37767422,,51565721
1685750400,2023-06-03,13766978,37956665,,51723643
1685836800,2023-06-04,13773307,38320507,,52093814
1685923200,2023-06-05,13773937,38317947,,52091884
1686009600,2023-06-06,13747964,38199748,,51947712
1686096000,2023-06-07,13701534,37854525,,51556059
1686182400,2023-06-08,13837036,37816827,,51653863
1686268800,2023-06-09,13760045,37648475,,51408520
1686355200,2023-06-10,13768214,37609005,,51377219
1686441600,2023-06-11,13725199,34352643,,48077842
1686528000,2023-06-12,13749867,35255087,,49004954
1686614400,2023-06-13,13717108,34611710,,48328818
1686700800,2023-06-14,13708958,34595181,,48304139
1686787200,2023-06-15,13668350,34584014,,48252364
1686873600,2023-06-16,13917367,34213496,,48130863
1686960000,2023-06-17,13923820,34217072,,48140892
1687046400,2023-06-18,13916985,34693710,,48610695
1687132800,2023-06-19,13872539,34829046,,48701585
1687219200,2023-06-20,13849357,34736799,,48586156
1687305600,2023-06-21,13929384,35377595,,49306979
1687392000,2023-06-22,13923172,35120496,,49043668
1687478400,2023-06-23,13893738,35304724,,49198462
1687564800,2023-06-24,13884276,35315171,,49199447
1687651200,2023-06-25,13898968,35334160,,49233128
1687737600,2023-06-26,13796034,35131221,,48927255
1687824000,2023-06-27,13826032,35157300,,48983332
1687910400,2023-06-28,13770339,34973925,,48744264
1687996800,2023-06-29,13713528,35127337,,48840865
1688083200,2023-06-30,13677009,34988149,,48665158
1688169600,2023-07-01,13695236,35059879,,48755115
1688256000,2023-07-02,13685656,34889855,,48575511
1688342400,2023-07-03,13735559,34973956,,48709515
1688428800,2023-07-04,13598015,34881235,,48479250
1688515200,2023-07-05,13670316,35048399,,48718715
1688601600,2023-07-06,13572790,35095605,,48668395
1688688000,2023-07-07,13584790,34619423,,48204213
1688774400,2023-07-08,13447937,34741930,,48189867
1688860800,2023-07-09,13468946,34763540,,48232486
1688947200,2023-07-10,13398237,34893235,,48291472
1689033600,2023-07-11,13459077,35009316,,48468393
1689120000,2023-07-12,13453049,34780791,,48233840
1689206400,2023-07-13,13459970,34326595,,47786565
1689292800,2023-07-14,13583528,33938322,,47521850
1689379200,2023-07-15,13464176,33505965,,46970141
1689465600,2023-07-16,13502985,33531563,,47034548
1689552000,2023-07-17,13513359,33531063,,47044422
1689638400,2023-07-18,13488395,33563161,,47051556
1689724800,2023-07-19,13517268,33657765,,47175033
1689811200,2023-07-20,13597776,33697749,,47295525
1689897600,2023-07-21,13582680,33671937,,47254617
1689984000,2023-07-22,13604852,33671377,,47276229
1690070400,2023-07-23,13592667,33384170,,46976837
1690156800,2023-07-24,13641719,33581898,,47223617
1690243200,2023-07-25,14097094,33766982,,47864076
1690329600,2023-07-26,14042106,34200802,,48242908
1690416000,2023-07-27,14070518,34290074,,48360592
1690502400,2023-07-28,14129759,34078037,,48207796
1690588800,2023-07-29,14140491,36548910,,50689401
1690675200,2023-07-30,14110379,36978284,,51088663
1690761600,2023-07-31,14222986,37373652,,51596638
1690848000,2023-08-01,14189660,37616632,,51806292
1690934400,2023-08-02,13891562,37307649,,51199211
1691020800,2023-08-03,13877156,38514548,,52391704
1691107200,2023-08-04,14060600,38902709,,52963309
1691193600,2023-08-05,14041775,38932385,,52974160
1691280000,2023-08-06,14060731,38942269,,53003000
1691366400,2023-08-07,14105668,38982438,,53088106
1691452800,2023-08-08,14055689,38908754,,52964443
1691539200,2023-08-09,14070402,38973412,,53043814
1691625600,2023-08-10,14066165,39778380,,53844545
1691712000,2023-08-11,14068974,39772005,,53840979
1691798400,2023-08-12,14122572,39959490,,54082062
1691884800,2023-08-13,14115505,40011394,,54126899
1691971200,2023-08-14,14130105,40276276,,54406381
1692057600,2023-08-15,14169755,40251110,,54420865
1692144000,2023-08-16,14181641,40236017,,54417658
1692230400,2023-08-17,14083591,40254120,,54337711
1692316800,2023-08-18,14094198,39775089,,53869287
1692403200,2023-08-19,14082583,39479644,,53562227
1692489600,2023-08-20,14059825,39638277,,53698102
1692576000,2023-08-21,14046415,39386299,,53432714
1692662400,2023-08-22,14037288,39326425,,53363713
1692748800,2023-08-23,14050334,39212612,,53262946
1692835200,2023-08-24,13845763,39474510,,53320273
1692921600,2023-08-25,13860911,36819934,,50680845
1693008000,2023-08-26,13862463,36874880,,50737343
1693094400,2023-08-27,13834142,36674561,,50508703
1693180800,2023-08-28,13824826,36616807,,50441633
1693267200,2023-08-29,13817292,36599705,,50416997
1693353600,2023-08-30,13758327,36289328,,50047655
1693440000,2023-08-31,13752781,36314058,,50066839
1693526400,2023-09-01,13741833,36342351,,50084184
1693612800,2023-09-02,13984034,36125250,,50109284
1693699200,2023-09-03,13977180,35999495,,49976675
1693785600,2023-09-04,14017766,35986877,,50004643
1693872000,2023-09-05,13982766,35807205,,49789971
1693958400,2023-09-06,13949656,35929483,,49879139
1694044800,2023-09-07,13821335,35824191,,49645526
1694131200,2023-09-08,13789916,35757316,,49547232
1694217600,2023-09-09,13801413,35452477,,49253890
1694304000,2023-09-10,13815954,35448101,,49264055
1694390400,2023-09-11,13830311,35385319,,49215630
1694476800,2023-09-12,13743420,35362088,,49105508
1694563200,2023-09-13,13605376,35406182,,49011558
1694649600,2023-09-14,12608714,35303890,,47912604
1694736000,2023-09-15,12621910,31397296,,44019206
1694822400,2023-09-16,12600079,31414615,,44014694
1694908800,2023-09-17,12564472,31463106,,44027578
1694995200,2023-09-18,12522693,30126292,,42648985
1695081600,2023-09-19,12519527,29326163,,41845690
1695168000,2023-09-20,12535632,29319460,,41855092
1695254400,2023-09-21,12531267,29265253,,41796520
1695340800,2023-09-22,12517823,29274504,,41792327
1695427200,2023-09-23,12521200,29269642,,41790842
1695513600,2023-09-24,12496509,29231890,,41728399
1695600000,2023-09-25,12490118,29278948,,41769066
1695686400,2023-09-26,12528883,28961707,,41490590
1695772800,2023-09-27,12431140,28958261,,41389401
1695859200,2023-09-28,12426587,29038733,,41465320
1695945600,2023-09-29,12426739,29025241,,41451980
1696032000,2023-09-30,12509288,29204957,,41714245
1696118400,2023-10-01,12514115,29207254,,41721369
1696204800,2023-10-02,12505761,29211773,,41717534
1696291200,2023-10-03,12516565,29246865,,41763430
1696377600,2023-10-04,12514144,29604342,,42118486
1696464000,2023-10-05,12510997,29526657,,42037654
1696550400,2023-10-06,12520094,29577581,,42097675
1696636800,2023-10-07,12487713,29587571,,42075284
1696723200,2023-10-08,12464574,29573736,,42038310
1696809600,2023-10-09,12432475,29570945,,42003420
1696896000,2023-10-10,12375286,29651916,,42027202
1696982400,2023-10-11,12351501,29545445,,41896946
1697068800,2023-10-12,12349078,29540918,,41889996
1697155200,2023-10-13,12232876,28819061,,41051937
1697241600,2023-10-14,12355388,31178535,,43533923
1697328000,2023-10-15,12356334,31171573,,43527907
1697414400,2023-10-16,12358616,31184741,,43543357
1697500800,2023-10-17,12333733,31174151,,43507884
