Timestamp,Date,USDT,USDC,Total
1717200000,2024-06-01,,394117,394117
1717286400,2024-06-02,,390946,390946
1717372800,2024-06-03,,386927,386927
1717459200,2024-06-04,,486898,486898
1717545600,2024-06-05,,564812,564812
1717632000,2024-06-06,,717546,717546
1717718400,2024-06-07,,726328,726328
1717804800,2024-06-08,,743325,743325
1717891200,2024-06-09,,718944,718944
1717977600,2024-06-10,,715944,715944
1718064000,2024-06-11,,716234,716234
1718150400,2024-06-12,,815424,815424
1718236800,2024-06-13,,870330,870330
1718323200,2024-06-14,,987113,987113
1718409600,2024-06-15,,1017398,1017398
1718496000,2024-06-16,,1021391,1021391
1718582400,2024-06-17,,1024747,1024747
1718668800,2024-06-18,,1125270,1125270
1718755200,2024-06-19,,1190711,1190711
1718841600,2024-06-20,,1342181,1342181
1718928000,2024-06-21,,1342545,1342545
1719014400,2024-06-22,,1342761,1342761
1719100800,2024-06-23,,1348052,1348052
1719187200,2024-06-24,,1334345,1334345
1719273600,2024-06-25,,1372300,1372300
1719360000,2024-06-26,,1376010,1376010
1719446400,2024-06-27,,1548733,1548733
1719532800,2024-06-28,,1532649,1532649
1719619200,2024-06-29,,1519837,1519837
1719705600,2024-06-30,,1521665,1521665
1719792000,2024-07-01,,1532956,1532956
1719878400,2024-07-02,,1534304,1534304
1719964800,2024-07-03,,1539678,1539678
1720051200,2024-07-04,,1513250,1513250
1720137600,2024-07-05,,1530625,1530625
1720224000,2024-07-06,,1487268,1487268
1720310400,2024-07-07,,1512448,1512448
1720396800,2024-07-08,,1533773,1533773
1720483200,2024-07-09,,1507777,1507777
1720569600,2024-07-10,,1529088,1529088
1720656000,2024-07-11,,1529140,1529140
1720742400,2024-07-12,,1500081,1500081
1720828800,2024-07-13,,1479744,1479744
1720915200,2024-07-14,,1549933,1549933
1721001600,2024-07-15,,1575055,1575055
1721088000,2024-07-16,,1674788,1674788
1721174400,2024-07-17,,1699788,1699788
1721260800,2024-07-18,,1613799,1613799
1721347200,2024-07-19,,1613141,1613141
1721433600,2024-07-20,,1615935,1615935
1721520000,2024-07-21,,1638426,1638426
1721606400,2024-07-22,,1638709,1638709
1721692800,2024-07-23,,1842043,1842043
1721779200,2024-07-24,,1789932,1789932
1721865600,2024-07-25,,1686959,1686959
1721952000,2024-07-26,,1684022,1684022
1722038400,2024-07-27,,1684304,1684304
1722124800,2024-07-28,,1634470,1634470
1722211200,2024-07-29,,1634787,1634787
1722297600,2024-07-30,,1609635,1609635
1722384000,2024-07-31,,1613355,1613355
1722470400,2024-08-01,,1610130,1610130
1722556800,2024-08-02,,1557950,1557950
1722643200,2024-08-03,,1605104,1605104
1722729600,2024-08-04,,1568108,1568108
1722816000,2024-08-05,,1706214,1706214
1722902400,2024-08-06,,1526085,1526085
1722988800,2024-08-07,,1810775,1810775
1723075200,2024-08-08,,1733102,1733102
1723161600,2024-08-09,,1848480,1848480
1723248000,2024-08-10,,1772308,1772308
1723334400,2024-08-11,,1768526,1768526
1723420800,2024-08-12,,1654218,1654218
1723507200,2024-08-13,,1652566,1652566
1723593600,2024-08-14,,1828695,1828695
1723680000,2024-08-15,,1831696,1831696
1723766400,2024-08-16,,1700613,1700613
1723852800,2024-08-17,,1870088,1870088
1723939200,2024-08-18,,1981935,1981935
1724025600,2024-08-19,,1981733,1981733
1724112000,2024-08-20,,1980505,1980505
1724198400,2024-08-21,,1976134,1976134
1724284800,2024-08-22,,2043195,2043195
1724371200,2024-08-23,,2111863,2111863
1724457600,2024-08-24,,2405862,2405862
1724544000,2024-08-25,,2416808,2416808
1724630400,2024-08-26,,2348350,2348350
1724716800,2024-08-27,,1772715,1772715
1724803200,2024-08-28,,1714358,1714358
1724889600,2024-08-29,,1598303,1598303
1724976000,2024-08-30,,1735437,1735437
1725062400,2024-08-31,,1709214,1709214
1725148800,2024-09-01,,1701540,1701540
1725235200,2024-09-02,,1694182,1694182
1725321600,2024-09-03,,1692405,1692405
1725408000,2024-09-04,,1631365,1631365
1725494400,2024-09-05,,1633041,1633041
1725580800,2024-09-06,,1584521,1584521
1725667200,2024-09-07,,1692259,1692259
1725753600,2024-09-08,,1707342,1707342
1725840000,2024-09-09,,1774769,1774769
1725926400,2024-09-10,,1782074,1782074
1726012800,2024-09-11,,1675834,1675834
1726099200,2024-09-12,,1868603,1868603
1726185600,2024-09-13,,1856551,1856551
1726272000,2024-09-14,,1879461,1879461
1726358400,2024-09-15,,1879697,1879697
1726444800,2024-09-16,,1878294,1878294
1726531200,2024-09-17,1801594,1801275,3602869
1726617600,2024-09-18,1791860.31,1790853.09,3582713.4000000004